content_id,title,content_type,genre_id,studio_id,release_year,language,duration_minutes,age_rating,imdb_rating,production_budget,licensing_cost,available_regions,is_original,created_at,updated_at,production_overhead,distribution_cost,technology_cost,localization_cost,contract_administration_cost,contingency_cost,total_content_cost,licensing_cost_ratio,production_cost_ratio,localization_cost_per_region,total_revenue,total_watch_hours,total_views,likes,dislikes,average_completion_rate,average_rewatch_rate,conversions,marketing_spend,attributed_revenue,genre_name,studio_name,total_investment,contribution_profit,content_roi,revenue_per_watch_hour,positive_engagement_rate,portfolio_revenue_percentile,portfolio_roi_percentile,decision
1,Inception,Movie,16,1,2010,English,148,PG-13,8.8,156739.25,28811.35,13,False,2026-09-07 16:36:58.339542,2026-09-07 16:36:58.339604,14687.82,6998.92,2604.31,4341.05,963.51,4876.67,220022.88,0.1309,0.7791,333.93,2013.53,30.15,12,1,1,51.0,16.67,0.0,0.0,0.0,Sci-Fi,Warner Bros. Pictures,220022.88,-218009.35,-0.9908,66.78,0.5,0.0003,0.0016,COST_REVIEW
2,Interstellar,Movie,16,5,2014,English,169,PG-13,8.7,166047.52,15666.47,12,False,2026-09-07 16:36:58.339628,2026-09-07 16:36:58.339631,24170.59,5364.68,2580.28,7304.02,185.36,4328.49,225647.41,0.0694,0.843,608.67,36428.42,69.59,20,3,4,55.46,20.0,0.0,0.0,0.0,Sci-Fi,Paramount Pictures,225647.41,-189218.99,-0.8386,523.47,0.4286,0.3927,0.0242,COST_REVIEW
3,Oppenheimer,Movie,4,2,2023,English,180,R,8.9,259234.2,21820.16,13,False,2026-09-07 16:36:58.339645,2026-09-07 16:36:58.339649,32632.26,5662.01,3116.19,11360.6,319.87,7171.82,341317.11,0.0639,0.8551,873.89,6025.76,50.49,17,5,3,51.63,23.53,0.0,0.0,0.0,Biography,Universal Pictures,341317.11,-335291.35,-0.9823,119.35,0.625,0.0087,0.0042,COST_REVIEW
4,The Dark Knight,Movie,1,1,2008,English,152,PG-13,9.0,286767.25,24006.73,13,False,2026-09-07 16:36:58.339659,2026-09-07 16:36:58.339661,32656.84,11695.07,4262.58,12905.79,629.86,12101.41,385025.53,0.0624,0.8296,992.75,15429.099999999999,73.42,30,7,2,52.57,23.33,0.0,0.0,0.0,Action,Warner Bros. Pictures,385025.53,-369596.43,-0.9599,210.15,0.7778,0.0887,0.0078,COST_REVIEW
5,Dune: Part Two,Movie,16,1,2024,English,166,PG-13,8.6,334461.86,52273.65,13,False,2026-09-07 16:36:58.339670,2026-09-07 16:36:58.339672,24764.12,9918.04,4114.53,14908.05,1090.83,21417.94,462949.02,0.1129,0.776,1146.77,13645.380000000001,55.96,17,4,1,60.37,23.53,0.0,0.0,0.0,Sci-Fi,Warner Bros. Pictures,462949.02,-449303.64,-0.9705,243.84,0.8,0.0684,0.0067,COST_REVIEW
6,Avengers: Endgame,Movie,1,9,2019,English,181,PG-13,8.4,314457.68,60791.04,12,False,2026-09-07 16:36:58.339681,2026-09-07 16:36:58.339683,23282.29,11261.35,5710.12,15483.1,1380.69,12146.36,444512.63,0.1368,0.7598,1290.26,69177.12999999999,89.10000000000001,23,4,1,56.55,30.43,0.0,0.0,0.0,Action,Marvel Studios,444512.63,-375335.5,-0.8444,776.4,0.8,0.7621,0.0229,COST_REVIEW
7,Spider-Man: Across the Spider-Verse,Movie,3,6,2023,English,140,PG,8.7,385920.35,68593.3,14,False,2026-09-07 16:36:58.339692,2026-09-07 16:36:58.339694,25172.63,7237.66,8374.7,19575.92,1183.74,17122.42,533180.72,0.1286,0.771,1398.28,29510.11,126.97,22,8,1,71.58,36.36,0.0,0.0,0.0,Animation,Sony Pictures Entertainment,533180.72,-503670.61,-0.9447,232.42,0.8889,0.2879,0.0093,COST_REVIEW
8,Pulp Fiction,Movie,6,2,1994,English,154,R,8.9,171308.23,36661.65,14,False,2026-09-07 16:36:58.339702,2026-09-07 16:36:58.339704,23632.97,6356.47,3552.57,7908.51,887.71,4436.89,254745.0,0.1439,0.7652,564.89,20040.1,47.3,13,1,1,71.62,30.77,0.0,0.0,0.0,Crime,Universal Pictures,254745.0,-234704.9,-0.9213,423.68,0.5,0.147,0.0113,COST_REVIEW
9,The Matrix,Movie,16,1,1999,English,136,R,8.7,150606.13,14087.74,14,False,2026-09-07 16:36:58.339712,2026-09-07 16:36:58.339714,17184.21,4228.16,1779.24,7024.26,169.26,7247.02,202326.02,0.0696,0.8293,501.73,65175.08999999999,85.4,14,6,0,81.05,42.86,0.0,0.0,0.0,Sci-Fi,Warner Bros. Pictures,202326.02,-137150.93,-0.6779,763.17,1.0,0.7296,0.0763,COST_REVIEW
10,Everything Everywhere All at Once,Movie,16,8,2022,English,139,R,7.8,207291.89,17844.32,15,False,2026-09-07 16:36:58.339722,2026-09-07 16:36:58.339729,25647.51,5534.0,3148.43,7452.51,246.96,7560.37,274725.99,0.065,0.8479,496.83,59462.77999999999,105.36000000000001,25,3,2,59.03,28.0,0.0,0.0,0.0,Sci-Fi,A24,274725.99,-215263.21,-0.7836,564.38,0.6,0.6777,0.0379,COST_REVIEW
11,Top Gun: Maverick,Movie,1,5,2022,English,130,PG-13,8.3,161192.63,33708.82,12,False,2026-09-07 16:36:58.339738,2026-09-07 16:36:58.339740,9970.18,7946.32,840.32,6775.48,346.84,9112.85,229893.44,0.1466,0.7445,564.62,57717.96,149.35,33,8,3,76.24,57.58,0.0,0.0,0.0,Action,Paramount Pictures,229893.44,-172175.48,-0.7489,386.46,0.7273,0.6596,0.049,COST_REVIEW
12,Gladiator II,Movie,1,5,2024,English,148,R,7.3,216748.83,36415.88,14,False,2026-09-07 16:36:58.339748,2026-09-07 16:36:58.339750,31925.34,6531.74,4856.38,6119.58,700.23,10850.85,314148.83,0.1159,0.7916,437.11,38255.100000000006,82.8,18,6,0,71.23,27.78,0.0,0.0,0.0,Action,Paramount Pictures,314148.83,-275893.73,-0.8782,462.02,1.0,0.42,0.0165,COST_REVIEW
13,Avatar: The Way of Water,Movie,16,10,2022,English,192,PG-13,7.6,183455.23,16462.85,13,False,2026-09-07 16:36:58.339758,2026-09-07 16:36:58.339761,24751.75,7105.47,1817.66,8455.5,532.09,9796.69,252377.24,0.0652,0.825,650.42,66017.82,36.19,11,2,0,54.5,9.09,0.0,0.0,0.0,Sci-Fi,20th Century Studios,252377.24,-186359.42,-0.7384,1824.2,1.0,0.7365,0.0531,COST_REVIEW
14,Parasite,Movie,8,25,2019,Korean,132,R,8.5,215498.03,19647.14,13,False,2026-09-07 16:36:58.339769,2026-09-07 16:36:58.339771,17048.16,7967.06,2978.58,5850.96,528.69,11989.19,281507.81,0.0698,0.8261,450.07,38389.97,88.19,19,3,1,54.3,10.53,0.0,0.0,0.0,Drama,CJ ENM Entertainment,281507.81,-243117.84,-0.8636,435.31,0.75,0.4223,0.0188,COST_REVIEW
15,Spirited Away,Movie,3,11,2001,Japanese,125,PG,8.6,245441.65,35215.34,14,False,2026-09-07 16:36:58.339780,2026-09-07 16:36:58.339782,18742.97,4577.64,1976.05,12222.18,769.08,8305.98,327250.89,0.1076,0.8073,873.01,22506.88,87.07000000000001,26,5,3,52.88,23.08,0.0,0.0,0.0,Animation,Studio Ghibli,327250.89,-304744.01,-0.9312,258.49,0.625,0.1827,0.0104,COST_REVIEW
16,Your Name,Movie,3,14,2016,Japanese,106,PG,8.4,242159.72,26475.56,14,False,2026-09-07 16:36:58.339790,2026-09-07 16:36:58.339792,18526.77,9971.52,4495.01,6757.4,867.63,10822.63,320076.24,0.0827,0.8145,482.67,73737.66,89.04,23,7,0,82.26,43.48,0.0,0.0,0.0,Animation,Toho Company,320076.24,-246338.58,-0.7696,828.14,1.0,0.7954,0.0415,COST_REVIEW
17,RRR,Movie,1,29,2022,Hindi,187,PG-13,7.8,429096.01,73257.4,13,False,2026-09-07 16:36:58.339800,2026-09-07 16:36:58.339802,37495.18,11289.76,6825.18,18858.13,1448.25,21261.83,599531.74,0.1222,0.7783,1450.63,62641.39,49.879999999999995,20,2,1,58.54,25.0,0.0,0.0,0.0,Action,DVV Entertainment,599531.74,-536890.35,-0.8955,1255.84,0.6667,0.7075,0.0144,COST_REVIEW
18,K.G.F: Chapter 2,Movie,1,28,2022,Hindi,168,PG-13,8.2,360611.84,37098.43,15,False,2026-09-07 16:36:58.339809,2026-09-07 16:36:58.339811,38667.71,15492.92,4434.01,13011.01,834.34,14901.8,485052.06,0.0765,0.8232,867.4,98783.06,96.67,17,5,0,81.39,47.06,0.0,0.0,0.0,Action,Hombale Films,485052.06,-386269.0,-0.7963,1021.86,1.0,0.9122,0.0345,COST_REVIEW
