region_id,country_name,region_name,continent,currency,timezone,created_at,updated_at,total_revenue,total_watch_hours,total_views,revenue_per_watch_hour
1,India,South Asia,Asia,INR,Asia/Kolkata,2026-09-05 00:16:21.995985,2026-09-05 00:16:21.996463,2695436.36,272344.17,66293,9.9
2,United States,North America,North America,USD,America/New_York,2026-09-05 00:16:21.995985,2026-09-05 00:16:21.996463,330269271.17,276483.03,67417,1194.54
3,Canada,North America,North America,CAD,America/Toronto,2026-09-05 00:16:21.995985,2026-09-05 00:16:21.996463,206945700.24,275254.74,66877,751.83
4,United Kingdom,Western Europe,Europe,GBP,Europe/London,2026-09-05 00:16:21.995985,2026-09-05 00:16:21.996463,385245609.54999995,274131.2,66542,1405.33
5,Germany,Western Europe,Europe,EUR,Europe/Berlin,2026-09-05 00:16:21.995985,2026-09-05 00:16:21.996463,315968908.74,274070.74,66691,1152.87
6,France,Western Europe,Europe,EUR,Europe/Paris,2026-09-05 00:16:21.995985,2026-09-05 00:16:21.996463,314489685.9,273055.77999999997,66551,1151.74
7,Spain,Southern Europe,Europe,EUR,Europe/Madrid,2026-09-05 00:16:21.995985,2026-09-05 00:16:21.996463,292997945.22,274114.74,66776,1068.89
8,Italy,Southern Europe,Europe,EUR,Europe/Rome,2026-09-05 00:16:21.995985,2026-09-05 00:16:21.996463,300372174.09000003,274744.52,66594,1093.28
9,Japan,East Asia,Asia,JPY,Asia/Tokyo,2026-09-05 00:16:21.995985,2026-09-05 00:16:21.996463,2125959.3,272177.9,66509,7.81
10,South Korea,East Asia,Asia,KRW,Asia/Seoul,2026-09-05 00:16:21.995985,2026-09-05 00:16:21.996463,230655.31,273253.39,66498,0.84
11,Australia,Oceania,Oceania,AUD,Australia/Sydney,2026-09-05 00:16:21.995985,2026-09-05 00:16:21.996463,189788065.46,273677.78,66863,693.47
12,Brazil,South America,South America,BRL,America/Sao_Paulo,2026-09-05 00:16:21.995985,2026-09-05 00:16:21.996463,39050576.91,274861.82,66777,142.07
13,Mexico,Latin America,North America,MXN,America/Mexico_City,2026-09-05 00:16:21.995985,2026-09-05 00:16:21.996463,12316083.75,271222.47,65958,45.41
14,Singapore,Southeast Asia,Asia,SGD,Asia/Singapore,2026-09-05 00:16:21.995985,2026-09-05 00:16:21.996463,80395366.00999999,276613.38,66973,290.64
15,United Arab Emirates,Middle East,Asia,AED,Asia/Dubai,2026-09-05 00:16:21.995985,2026-09-05 00:16:21.996463,83493802.89,274651.18,66681,304.0
